GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
demo,com.example.demo.service.security,SecurityService,298,25,8,0,64,9,11,2,7,2
demo,com.example.demo.service.security,UserDetailService,50,9,0,0,10,4,5,1,5,1
demo,com.example.demo.utility,GetCurrentUserInfo,63,12,0,0,12,5,4,1,4,1
demo,com.example.demo.utility,PromptManager,11,3,0,0,2,1,2,1,2,1
demo,com.example.demo.utility,CsvFilter,121,0,14,0,28,0,11,0,4,0
demo,com.example.demo.service.rabbitmq,RabbitMQService,0,75,0,0,0,20,0,4,0,4
demo,com.example.demo.controller,FileController,21,73,0,0,6,20,1,4,1,4
demo,com.example.demo.controller,AccountController,74,111,2,2,25,25,2,8,0,8
demo,com.example.demo.controller,TransactionRecordController,75,138,8,4,20,30,7,7,1,7
demo,com.example.demo.controller,TransactionUserController,79,105,3,5,20,23,3,12,0,11
demo,com.example.demo.controller,FinancialReportController,0,37,1,3,0,12,1,4,0,3
demo,com.example.demo.service.es,RecordSyncService,104,9,2,0,28,4,6,1,5,1
demo,com.example.demo.service.es,RecordSearchService,109,12,16,0,22,5,10,1,2,1
demo,com.example.demo.exception,ResourceNotFoundException,4,0,0,0,2,0,1,0,1,0
demo,com.example.demo.exception,AccountNotFoundException,4,0,0,0,2,0,1,0,1,0
demo,com.example.demo.exception,AccountAlreadyExistException,0,4,0,0,0,2,0,1,0,1
demo,com.example.demo.exception,UserAlreadyExistsException,0,4,0,0,0,2,0,1,0,1
demo,com.example.demo.exception,UserNotFoundException,0,4,0,0,0,2,0,1,0,1
demo,com.example.demo.exception,PasswordNotCorrectException,0,4,0,0,0,2,0,1,0,1
demo,com.example.demo.exception,S3DownloadException,5,0,0,0,2,0,1,0,1,0
demo,com.example.demo.controller.security,SecurityController,10,61,0,0,3,17,0,5,0,5
demo,com.example.demo.controller.ai,AiAnalyserController,0,13,0,0,0,3,0,2,0,2
demo,com.example.demo.controller.ai,AiChatController,33,92,0,0,11,23,3,5,3,5
demo,com.example.demo.controller.ai,VectorDBController,215,26,8,0,47,7,9,2,5,2
demo,com.example.demo.service,FinancialReportService,22,12,2,0,4,5,2,1,1,1
demo,com.example.demo.service,TransactionUserService,295,19,20,0,67,7,24,2,14,2
demo,com.example.demo.service,TransactionRecordService,400,34,24,0,82,12,26,2,14,2
demo,com.example.demo.service,AccountService,315,19,22,0,71,8,23,2,12,2
demo,com.example.demo.service.aws,S3Service,221,10,6,0,50,4,9,2,6,2
demo,com.example.demo.utility.jwt,JwtLogoutHandler,63,9,8,0,14,4,6,1,2,1
demo,com.example.demo.utility.jwt,JwtAuthenticationTokenFilter,0,117,5,17,0,31,5,8,0,2
demo,com.example.demo.utility.jwt,JwtUtil,0,145,1,5,0,50,1,10,0,8
demo,com.example.demo.agent,AntiScamAgent.Request,9,0,0,0,1,0,2,0,2,0
demo,com.example.demo.agent,AntiScamAgent,9,4,0,0,5,2,1,1,1,1
demo,com.example.demo.agent,AbstractAgent,38,15,0,0,5,7,4,2,4,2
demo,com.example.demo.controller.es,RecordESController,17,6,0,0,2,3,2,1,2,1
demo,com.example.demo.listener,AiAnalyser,73,22,0,0,18,8,1,2,1,2
demo,com.example.demo.utility.converter,PromptConverter,103,0,6,0,25,0,9,0,6,0
demo,com.example.demo.utility.converter,TransactionRecordConverter,74,0,0,0,23,0,4,0,4,0
demo,com.example.demo.service.ai,AiAnalyserService,144,31,0,0,35,11,4,2,4,2
