           Date       Description           Debit          Credit         Balance
     2024-09-01     Grocery Store       66.948894        0.000000     4933.051106
     2024-09-02        Restaurant      125.827347        0.000000     4807.223758
     2024-09-03         Utilities       15.061695        0.000000     4792.162063
     2024-09-04            Salary        0.000000     1098.399511     5890.561574
     2024-09-05    Gym Membership       27.738592        0.000000     5862.822982
     2024-09-06   Online Shopping      187.896984        0.000000     5674.925999
     2024-09-07              Rent       67.372364        0.000000     5607.553635
     2024-09-08       Coffee Shop       81.180952        0.000000     5526.372683
     2024-09-09 Insurance Payment      146.045598        0.000000     5380.327085
     2024-09-10       Gas Station      138.844726        0.000000     5241.482359
     2024-09-10       Gas Station      138.844726        0.000000     5103.482359
     2024-09-10       Gas Station      138.844726        0.000000     4065.482359


